year,mpls_temp,global_temp
1750,5.65,8.72
1751,6.44,7.98
1752,-2.72,5.78
1753,4.94,8.39
1754,4.69,8.47
1755,1.80,8.36
1756,5.11,8.85
1757,4.38,9.02
1758,3.49,6.74
1759,4.50,7.99
1760,2.47,7.19
1761,5.27,8.77
1762,5.20,8.61
1763,2.26,7.50
1764,4.55,8.40
1765,4.15,8.25
1766,5.34,8.41
1767,3.80,8.22
1768,3.80,6.78
1769,4.75,7.69
1770,4.61,7.69
1771,5.18,7.85
1772,5.20,8.19
1773,5.25,8.22
1774,4.56,8.77
1775,5.99,9.18
1776,4.80,8.30
1777,4.73,8.26
1778,1.80,8.54
1779,5.09,8.98
1780,8.71,9.43
1781,5.02,8.10
1782,4.58,7.90
1783,4.38,7.68
1784,4.48,7.86
1785,4.17,7.36
1786,4.74,8.26
1787,4.79,8.03
1788,5.16,8.45
1789,4.95,8.33
1790,4.83,7.98
1791,5.10,8.23
1792,4.65,8.09
1793,5.01,8.23
1794,5.17,8.53
1795,5.01,8.35
1796,5.02,8.27
1797,4.63,8.51
1798,5.34,8.67
1799,5.11,8.51
1800,5.06,8.48
1801,5.39,8.59
1802,5.52,8.58
1803,5.30,8.50
1804,5.37,8.84
1805,5.39,8.56
1806,5.05,8.43
1807,4.84,8.28
1808,4.63,7.63
1809,3.79,7.08
1810,3.86,6.92
1811,4.04,6.86
1812,3.17,7.05
1813,4.70,7.74
1814,4.64,7.59
1815,3.75,7.24
1816,3.02,6.94
1817,3.51,6.98
1818,4.71,7.83
1819,3.87,7.37
1820,3.49,7.62
1821,4.07,8.09
1822,4.38,8.19
1823,4.01,7.72
1824,4.21,8.55
1825,5.80,8.39
1826,4.68,8.36
1827,5.49,8.81
1828,5.34,8.17
1829,4.78,7.94
1830,6.14,8.52
1831,3.83,7.64
1832,5.11,7.45
1833,5.91,8.01
1834,5.89,8.15
1835,3.91,7.39
1836,3.78,7.70
1837,4.38,7.38
1838,3.33,7.51
1839,5.77,7.63
1840,4.86,7.80
1841,4.71,7.69
1842,4.80,8.02
1843,3.33,8.17
1844,4.29,7.65
1845,5.54,7.85
1846,6.89,8.55
1847,4.02,8.09
1848,4.29,7.98
1849,3.97,7.98
1850,4.85,7.90
1851,5.63,8.18
1852,4.91,8.10
1853,4.39,8.04
1854,5.49,8.21
1855,4.30,8.11
1856,3.81,8.00
1857,3.70,7.76
1858,5.45,8.10
1859,3.49,8.25
1860,4.43,7.96
1861,3.99,7.85
1862,3.21,7.56
1863,4.21,8.11
1864,4.16,7.98
1865,4.63,8.18
1866,3.32,8.29
1867,3.24,8.44
1868,3.64,8.25
1869,3.68,8.43
1870,5.54,8.20
1871,4.53,8.12
1872,3.74,8.19
1873,3.56,8.35
1874,4.62,8.43
1875,2.18,7.86
1876,3.71,8.08
1877,5.95,8.54
1878,7.20,8.83
1879,4.92,8.17
1880,4.41,8.12
1881,4.75,8.27
1882,5.14,8.13
1883,2.69,7.98
1884,3.59,7.77
1885,3.43,7.92
1886,4.07,7.95
1887,3.69,7.91
1888,3.14,8.09
1889,5.34,8.32
1890,4.59,7.97
1891,5.16,8.02
1892,4.34,8.07
1893,3.50,8.06
1894,6.10,8.16
1895,4.65,8.15
1896,4.63,8.21
1897,4.59,8.29
1898,5.30,8.18
1899,4.54,8.40
1900,6.00,8.50
1901,5.27,8.54
1902,5.25,8.30
1903,4.05,8.22
1904,3.68,8.09
1905,4.73,8.23
1906,5.25,8.38
1907,3.95,7.95
1908,5.98,8.19
1909,4.75,8.18
1910,5.79,8.22
1911,5.23,8.18
1912,4.07,8.17
1913,5.51,8.30
1914,5.25,8.59
1915,5.50,8.59
1916,3.95,8.23
1917,2.94,8.02
1918,5.62,8.13
1919,5.03,8.38
1920,5.15,8.36
1921,6.85,8.57
1922,5.73,8.41
1923,5.56,8.42
1924,4.03,8.51
1925,5.23,8.53
1926,4.58,8.73
1927,4.43,8.52
1928,5.43,8.63
1929,3.98,8.24
1930,6.06,8.63
1931,8.24,8.72
1932,5.16,8.71
1933,5.64,8.34
1934,6.04,8.63
1935,5.03,8.52
1936,4.31,8.55
1937,4.60,8.70
1938,6.29,8.86
1939,6.11,8.76
1940,5.02,8.76
1941,6.60,8.77
1942,5.80,8.73
1943,4.82,8.76
1944,6.31,8.85
1945,4.70,8.58
1946,5.79,8.68
1947,5.49,8.80
1948,5.46,8.75
1949,5.90,8.59
1950,3.49,8.37
1951,3.84,8.63
1952,5.96,8.64
1953,6.32,8.87
1954,5.85,8.56
1955,5.43,8.63
1956,5.21,8.28
1957,5.36,8.73
1958,5.60,8.77
1959,5.63,8.73
1960,5.30,8.58
1961,5.97,8.80
1962,5.26,8.75
1963,5.90,8.86
1964,5.99,8.41
1965,4.40,8.53
1966,4.69,8.60
1967,4.71,8.70
1968,5.80,8.52
1969,5.23,8.60
1970,4.97,8.70
1971,5.13,8.60
1972,3.88,8.50
1973,6.53,8.95
1974,5.44,8.47
1975,5.33,8.74
1976,5.44,8.35
1977,5.90,8.85
1978,4.91,8.69
1979,4.20,8.73
1980,5.60,8.98
1981,6.48,9.17
1982,4.76,8.64
1983,5.88,9.03
1984,5.95,8.69
1985,4.65,8.66
1986,6.09,8.83
1987,8.21,8.99
1988,6.10,9.20
1989,4.76,8.92
1990,6.65,9.23
1991,6.16,9.18
1992,5.86,8.84
1993,4.80,8.87
1994,5.69,9.04
1995,5.44,9.35
1996,4.01,9.04
1997,5.57,9.20
1998,7.94,9.52
1999,7.15,9.29
2000,6.03,9.20
2001,6.76,9.41
2002,6.30,9.57
2003,6.04,9.53
2004,5.89,9.32
2005,6.87,9.70
2006,7.51,9.53
2007,6.58,9.73
2008,4.84,9.43
2009,5.26,9.51
2010,6.71,9.70
2011,6.25,9.52
2012,7.98,9.51
2013,7.26,9.61
